accident_severity,special_conditions_at_site,pedestrian_movement,road_surface_conditions,light_conditions,weather_conditions,age_of_vehicle,sex_of_driver,age_of_driver,junction_location,junction_detail,junction_control,did_police_officer_attend_scene_of_accident,day_of_week
178600,1,0.0,0.0,1.0,1,1,1.6094379124341003,1.0,3.6635616461296463,1.0,8.0,4.0,1.0,1
187968,1,0.0,0.0,1.0,6,1,2.6390573296152584,1.0,4.30406509320417,2.0,3.0,4.0,1.0,2
166022,1,0.0,0.0,2.0,6,5,2.70805020110221,2.0,3.332204510175204,2.0,3.0,4.0,1.0,7
63902,1,0.0,0.0,1.0,1,1,2.0794415416798357,1.0,3.5263605246161616,1.0,6.0,4.0,1.0,6
166021,1,0.0,0.0,2.0,6,5,2.70805020110221,2.0,3.332204510175204,2.0,3.0,4.0,1.0,7
2707,1,0.0,9.0,1.0,1,1,2.6390573296152584,1.0,3.2188758248682006,1.0,9.0,4.0,1.0,5
277426,1,0.0,0.0,1.0,4,1,1.0986122886681098,1.0,3.1354942159291497,1.0,1.0,4.0,1.0,2
218326,1,0.0,0.0,1.0,4,1,1.6094379124341003,1.0,3.8918202981106265,8.0,3.0,4.0,1.0,1
218325,1,0.0,0.0,1.0,4,1,1.3862943611198906,1.0,3.044522437723423,1.0,3.0,4.0,1.0,1
218324,1,0.0,0.0,1.0,4,1,1.3862943611198906,1.0,3.044522437723423,1.0,3.0,4.0,1.0,1
235783,1,0.0,0.0,1.0,1,1,3.1780538303479458,1.0,3.258096538021482,8.0,3.0,4.0,1.0,4
218323,1,0.0,0.0,1.0,4,1,1.3862943611198906,1.0,3.044522437723423,1.0,3.0,4.0,1.0,1
187970,1,0.0,0.0,1.0,6,1,0.6931471805599453,2.0,3.6888794541139363,2.0,3.0,4.0,1.0,2
175592,1,0.0,0.0,1.0,1,1,2.8903717578961645,1.0,3.1780538303479458,8.0,8.0,4.0,1.0,6
277307,1,0.0,0.0,2.0,1,1,2.3978952727983707,1.0,3.367295829986474,1.0,5.0,4.0,1.0,4
153792,1,0.0,0.0,2.0,6,4,2.9444389791664403,1.0,3.784189633918261,8.0,3.0,4.0,2.0,1
146969,1,0.0,0.0,1.0,1,1,2.995732273553991,1.0,3.4657359027997265,1.0,3.0,4.0,1.0,3
66706,1,0.0,0.0,2.0,4,1,3.1354942159291497,1.0,3.091042453358316,1.0,3.0,4.0,1.0,4
66707,1,0.0,0.0,2.0,4,1,3.1354942159291497,1.0,3.091042453358316,1.0,3.0,4.0,1.0,4
207823,1,0.0,9.0,1.0,4,1,0.6931471805599453,1.0,3.6375861597263857,6.0,5.0,4.0,1.0,1
195662,1,0.0,1.0,2.0,1,1,2.0794415416798357,1.0,3.6888794541139363,1.0,3.0,2.0,1.0,5
2298,1,0.0,0.0,1.0,4,1,2.3978952727983707,1.0,3.258096538021482,8.0,6.0,4.0,1.0,5
80771,1,0.0,0.0,1.0,1,1,2.302585092994046,1.0,3.6888794541139363,2.0,3.0,4.0,1.0,3
213791,1,0.0,0.0,1.0,1,1,1.3862943611198906,1.0,4.3694478524670215,8.0,1.0,4.0,1.0,3
225624,1,0.0,9.0,2.0,1,2,0.6931471805599453,1.0,4.30406509320417,1.0,3.0,4.0,1.0,5
150009,1,0.0,0.0,1.0,1,1,1.3862943611198906,2.0,4.276666119016055,8.0,3.0,4.0,1.0,1
213765,1,0.0,1.0,1.0,1,1,1.0986122886681098,1.0,3.912023005428146,1.0,3.0,2.0,1.0,4
95585,1,0.0,0.0,2.0,1,1,2.0794415416798357,1.0,3.8066624897703196,1.0,9.0,4.0,1.0,3
2400,1,0.0,3.0,2.0,4,2,1.3862943611198906,1.0,3.4965075614664802,2.0,3.0,4.0,1.0,7
91180,1,0.0,0.0,1.0,1,1,2.4849066497880004,1.0,3.4339872044851463,8.0,3.0,4.0,1.0,5
71255,1,0.0,0.0,1.0,4,1,2.5649493574615367,1.0,4.418840607796598,6.0,3.0,4.0,1.0,4
74368,1,0.0,0.0,1.0,1,1,2.833213344056216,1.0,3.9512437185814275,8.0,3.0,4.0,1.0,7
150081,1,0.0,0.0,2.0,1,1,2.8903717578961645,1.0,4.499809670330265,6.0,6.0,4.0,1.0,3
256209,1,0.0,0.0,1.0,1,4,2.0794415416798357,1.0,3.4657359027997265,1.0,5.0,4.0,1.0,7
256210,1,0.0,0.0,1.0,1,4,1.6094379124341003,1.0,4.204692619390966,1.0,5.0,4.0,1.0,7
74367,1,0.0,0.0,1.0,1,1,2.70805020110221,2.0,4.430816798843313,5.0,3.0,4.0,1.0,7
